主力净流入,主力流入,主力流出,时间区间
-5564492.0,3067448.0,8631940.0,0930
-23754446.16,4527929.63,28282375.79,0940
-6643798.28,8479403.52,15123201.8,0950
10163778.0,12868543.0,2704765.0,1000
-9003510.33,2509653.0300000003,11513163.36,1010
287990.0,1706625.0,1418635.0,1020
-5184610.39,801050.0,5985660.39,1030
156188.0,917532.0,761344.0,1040
894475.0,3126816.0,2232341.0,1050
-3322838.0,461500.0,3784338.0,1100
-2039136.0,1060527.0,3099663.0,1110
113128.0,737752.0,624624.0,1120
-4738232.96,816855.0,5555087.96,1300
-10969807.8,0.0,10969807.8,1310
-2321611.0,1259452.0,3581063.0000000005,1320
-7241504.86,3522491.18,10763996.04,1330
16064.0,878696.0,862632.0,1340
-15677034.0,1591488.0000000002,17268522.0,1350
-2458534.56,3880134.0,6338668.5600000005,1400
904422.0,1408209.0,503787.00000000006,1410
-648953.0,324544.0,973497.0,1420
738018.0,1236820.0,498802.0,1430
-5193262.8,3634132.600000001,8827395.4,1440
-3842762.98,1244288.0,5087050.98,1450
